,video_id,title,views,likes,comments,publishedAt,playlist_name
98,_66jPJVS4JE,Jennifer Lopez - Waiting For Tonight,97891210,417917,19062,2009-11-24T06:46:54Z,Late 90s Early 2000s Pop Hits Playlist
99,ek2PDE1cAyY,Jesse McCartney - Beautiful Soul (Official Video),67203039,563015,18950,2014-08-19T22:33:48Z,Late 90s Early 2000s Pop Hits Playlist
100,yCmsZUN4r_s,"Faith Hill - ""Breathe"" (Official Video)",34346784,214981,7953,2009-10-27T01:40:57Z,Top 100 Songs of 2000 - Billboard Year End Charts
101,6Whgn_iE5uc,Santana - Smooth (Stereo) ft. Rob Thomas,355929087,1733078,36448,2013-10-04T20:47:59Z,Top 100 Songs of 2000 - Billboard Year End Charts
102,nPLV7lGbmT4,Santana - Maria Maria (Official Video) ft. The Product G&B,546424519,2664289,54857,2010-02-25T01:10:33Z,Top 100 Songs of 2000 - Billboard Year End Charts
103,dJ8VjyPw0qY,Joe - I Wanna Know (Official Video),214151137,1225896,26243,2009-10-25T20:07:56Z,Top 100 Songs of 2000 - Billboard Year End Charts
104,VwSaldFJofM,Vertical Horizon-Everything You Want,3206216,18677,1329,2008-07-10T14:49:17Z,Top 100 Songs of 2000 - Billboard Year End Charts
105,sQgd6MccwZc,Destiny's Child - Say My Name (Official Video),373992597,1841311,45165,2009-10-25T08:36:38Z,Top 100 Songs of 2000 - Billboard Year End Charts
106,jjnmICxvoVY,Savage Garden - I Knew I Loved You (Official Video),232039843,1093903,42001,2009-10-25T08:41:39Z,Top 100 Songs of 2000 - Billboard Year End Charts
107,x-skFgrV59A,Lonestar - Amazed (Official Music Video),77347946,467604,12864,2011-03-05T09:09:00Z,Top 100 Songs of 2000 - Billboard Year End Charts
108,KcSNwUD6rpA,Matchbox Twenty - Bent (Official Video),2512395,8860,434,2009-10-27T02:50:49Z,Top 100 Songs of 2000 - Billboard Year End Charts
109,9_hKXk2qSuw,Toni Braxton - He Wasn't Man Enough (Video Version),126307508,588769,22606,2009-10-25T08:39:14Z,Top 100 Songs of 2000 - Billboard Year End Charts
110,J16lInLZRms,Creed - Higher (Official Video),76381891,371527,15514,2009-12-02T09:58:40Z,Top 100 Songs of 2000 - Billboard Year End Charts
111,Vjw92oUduEM,Destiny's Child - Jumpin’ Jumpin’ (Official Music Video),52853386,240375,6515,2009-10-25T08:39:05Z,Top 100 Songs of 2000 - Billboard Year End Charts
112,Oai1V7kaFBk,Sisqo - Thong Song (Official Music Video),161018612,889255,44912,2009-06-16T21:56:30Z,Top 100 Songs of 2000 - Billboard Year End Charts
113,xPU8OAjjS4k,3 Doors Down - Kryptonite (Official Video),435861003,1783550,38619,2009-11-21T11:22:55Z,Top 100 Songs of 2000 - Billboard Year End Charts
114,66LnhtnSoKc,P!NK - There You Go (Official Video),32555886,188639,9454,2009-10-25T19:42:37Z,Top 100 Songs of 2000 - Billboard Year End Charts
115,EDwb9jOVRtU,Madonna - Hung Up (Official Video) [HD],455134272,2374711,96529,2009-10-27T01:58:43Z,Top 100 Songs of 2000 - Billboard Year End Charts
116,7iJZosBX2L0,Janet Jackson - Doesn't Really Matter (Official Video),3677119,35875,2082,2012-02-05T22:18:21Z,Top 100 Songs of 2000 - Billboard Year End Charts
117,hpspGHeLOPE,Christina Aguilera - What A Girl Wants (Official Video),42551346,195673,10812,2009-10-03T04:37:42Z,Top 100 Songs of 2000 - Billboard Year End Charts
118,rXPfovXw2tw,Brian McKnight - Back At One (Short Version) (Official Music Video),180394088,1214636,29124,2009-06-16T23:30:00Z,Top 100 Songs of 2000 - Billboard Year End Charts
119,Eo-KmOd3i7s,*NSYNC - Bye Bye Bye (Official Video),345860585,1558509,73492,2009-10-25T07:07:28Z,Top 100 Songs of 2000 - Billboard Year End Charts
120,MY4YJxn-9Og,Marc Anthony - You Sang To Me (Video),196874271,641454,24090,2009-10-03T21:00:26Z,Top 100 Songs of 2000 - Billboard Year End Charts
121,fLVzw9wVd9o,Marc Anthony - I Need to Know (Video),56209073,197025,6317,2009-10-03T04:42:46Z,Top 100 Songs of 2000 - Billboard Year End Charts
122,k_C_nhzdNFI,Montell Jordan - Get It On Tonite,30038442,196663,5264,2010-09-14T20:03:14Z,Top 100 Songs of 2000 - Billboard Year End Charts
123,Z6qqS9mbdY4,Sisqo - Incomplete,34577620,212566,7822,2007-03-24T16:32:58Z,Top 100 Songs of 2000 - Billboard Year End Charts
124,WEQ0l_m3Xm0,Macy Gray - I Try (Official Video),74405464,531399,16436,2011-03-18T14:35:57Z,Top 100 Songs of 2000 - Billboard Year End Charts
125,GQMlWwIXg3M,*NSYNC - It's Gonna Be Me (Official Video),195984603,879372,47819,2009-10-25T07:06:38Z,Top 100 Songs of 2000 - Billboard Year End Charts
126,T6wbugWrfLU,Céline Dion - That's The Way It Is (Official Video),298767316,994004,33898,2009-10-25T06:44:13Z,Top 100 Songs of 2000 - Billboard Year End Charts
127,Y5qKNlcUwKs,Nelly - Country Grammar (Hot...) (Official Music Video),101186548,507798,15271,2009-10-06T14:03:38Z,Top 100 Songs of 2000 - Billboard Year End Charts
128,h4mjAOgHLvU,Blaque - Bring It All to Me ft. *NSYNC,13847784,172661,5771,2013-09-15T07:36:52Z,Top 100 Songs of 2000 - Billboard Year End Charts
129,aBt8fN7mJNg,Backstreet Boys - Show Me The Meaning Of Being Lonely,286736155,1538392,58167,2011-05-25T16:12:54Z,Top 100 Songs of 2000 - Billboard Year End Charts
130,FRkev5Aooms,Missy Elliott - Hot Boyz [Official Music Video],30317862,222952,8810,2009-10-27T02:56:36Z,Top 100 Songs of 2000 - Billboard Year End Charts
131,l95MMbls0GQ,"BB MAK, BACK HERE",4448048,18111,1964,2007-03-31T20:14:33Z,Top 100 Songs of 2000 - Billboard Year End Charts
132,1AIu7SqX_UI,Sonique - It Feels So Good,11387020,66732,2613,2010-03-31T15:53:34Z,Top 100 Songs of 2000 - Billboard Year End Charts
133,ZIANBamMgas,Nine Days - Absolutely (Story of a Girl),21166015,161911,5837,2009-10-25T08:38:15Z,Top 100 Songs of 2000 - Billboard Year End Charts
134,99j0zLuNhi8,Creed - With Arms Wide Open,177203976,1159476,36071,2009-12-02T09:34:55Z,Top 100 Songs of 2000 - Billboard Year End Charts
135,YT9wVDxnyV0,Enrique Iglesias - Be With You [OFFICIAL VIDEO],2382571,9673,407,2013-08-05T19:11:36Z,Top 100 Songs of 2000 - Billboard Year End Charts
136,0RQDIJ2CvbA,Christina Aguilera - Come On Over (All I Want Is You) (Official Video),53703417,226704,10711,2009-11-18T01:40:10Z,Top 100 Songs of 2000 - Billboard Year End Charts
137,6TLxUAa3lb0,Ruff Endz - No More,13735237,100934,3405,2009-10-25T08:42:02Z,Top 100 Songs of 2000 - Billboard Year End Charts
138,9Ht5RZpzPqw,blink-182 - All The Small Things (Official Music Video),361045359,1728100,62596,2009-06-16T23:16:07Z,Top 100 Songs of 2000 - Billboard Year End Charts
139,o8EamHKpdrM,"Faith Hill - ""The Way You Love Me"" (Official Video)",17274923,95350,3065,2009-11-17T18:20:46Z,Top 100 Songs of 2000 - Billboard Year End Charts
140,z4q05resEvc,Christina Aguilera - I Turn To You (Official Video),76323509,428665,16703,2009-10-03T04:37:31Z,Top 100 Songs of 2000 - Billboard Year End Charts
