,video_id,title,views,likes,comments,play_list_name
136,0RQDIJ2CvbA,Christina Aguilera - Come On Over (All I Want Is You) (Official Video),53685855,226635,10709,Top 100 Songs of 2000 - Billboard Year End Charts
137,6TLxUAa3lb0,Ruff Endz - No More,13730177,100887,3402,Top 100 Songs of 2000 - Billboard Year End Charts
138,9Ht5RZpzPqw,blink-182 - All The Small Things (Official Music Video),360890423,1727373,62582,Top 100 Songs of 2000 - Billboard Year End Charts
139,o8EamHKpdrM,"Faith Hill - ""The Way You Love Me"" (Official Video)",17269330,95315,3065,Top 100 Songs of 2000 - Billboard Year End Charts
140,z4q05resEvc,Christina Aguilera - I Turn To You (Official Video),76292056,428511,16697,Top 100 Songs of 2000 - Billboard Year End Charts
141,YmmjtzDrdGk,Third Eye Blind - Never Let You Go (HQ) [Official],1015775,4345,253,Top 100 Songs of 2000 - Billboard Year End Charts
142,AA_5sLaTErQ,LeAnn Rimes - I Need You (Official Music Video),17165650,126694,4102,Top 100 Songs of 2000 - Billboard Year End Charts
143,7KVxjQUCyn0,"Mariah Carey, Joe, 98 Degrees - Thank God I Found You (Official HD Video)",32772400,145871,5531,Top 100 Songs of 2000 - Billboard Year End Charts
144,9XwPCVvMcuE,Jagged Edge - Let's Get Married (Official Video),34454859,291551,4616,Top 100 Songs of 2000 - Billboard Year End Charts
145,kxZD0VQvfqU,Whitney Houston - My Love Is Your Love (Official HD Video),97465196,420622,14338,Top 100 Songs of 2000 - Billboard Year End Charts
146,cB9JJIoAdYM,Smash Mouth - Then The Morning Comes (Official Music Video),6841448,40709,2336,Top 100 Songs of 2000 - Billboard Year End Charts
147,68ugkg9RePc,Eiffel 65 - Blue (Da Ba Dee) [Gabry Ponte Ice Pop Mix] (Original Video with subtitles),298673422,2961581,249425,Top 100 Songs of 2000 - Billboard Year End Charts
148,C3lWwBslWqg,Sting - Desert Rose,435436713,2055145,85051,Top 100 Songs of 2000 - Billboard Year End Charts
149,eJO5HU_7_1w,Eminem - The Real Slim Shady (Official Video - Clean Version),902732770,7482015,187236,Top 100 Songs of 2000 - Billboard Year End Charts
150,UWJ_P-TdEJ0,P!NK - Most Girls (Video Version),35528144,133264,6965,Top 100 Songs of 2000 - Billboard Year End Charts
151,aGFZq4od-VQ,Next - Wifey (Video Version),17697919,143410,2710,Top 100 Songs of 2000 - Billboard Year End Charts
152,MUfgAbFY4CA,Everclear - Wonderful (Official Music Video),12204315,74791,4339,Top 100 Songs of 2000 - Billboard Year End Charts
153,CduA0TULnow,Britney Spears - Oops!...I Did It Again (Official HD Video),435093066,2764062,106948,Top 100 Songs of 2000 - Billboard Year End Charts
154,4bJ0F8KhhZ8,Jessica Simpson - I Wanna Love You Forever (Video),29489946,143462,9807,Top 100 Songs of 2000 - Billboard Year End Charts
